method_id	referenceid	criteria	probe_concentration	probeid	name_show	type	cpid	name_competitor	cell_id	experiment_method	Quantitative Method	cp_concentration	remark
LDD1412	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0585	Fragment26	LDCLL0042	.	Isotope tag	500 uM	.
LDD1411	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0584	Fragment25	LDCLL0021	.	Isotope tag	500 uM	.
LDD1410	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0583	Fragment24	LDCLL0042	.	Isotope tag	500 uM	.
LDD1408	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0582	Fragment23	LDCLL0021	.	Isotope tag	500 uM	.
LDD1409	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0582	Fragment23	LDCLL0042	.	Isotope tag	500 uM	.
LDD2196	REF000029	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0582	Fragment23	LDCLL0042	DIA-ABPP	Isotope tag	500 uM	.
LDD1406	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0581	Fragment22	LDCLL0021	.	Isotope tag	500 uM	.
LDD1407	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0581	Fragment22	LDCLL0042	.	Isotope tag	500 uM	.
LDD1404	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0580	Fragment21	LDCLL0021	.	Isotope tag	500 uM	.
LDD1405	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0580	Fragment21	LDCLL0042	.	Isotope tag	500 uM	.
LDD2195	REF000029	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0580	Fragment21	LDCLL0042	DIA-ABPP	Isotope tag	500 uM	.
LDD1473	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0580	Fragment21	LDCLC0021	.	Isotope tag	200 uM	.
LDD1402	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0579	Fragment20	LDCLL0021	.	Isotope tag	500 uM	.
LDD1403	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0579	Fragment20	LDCLL0042	.	Isotope tag	500 uM	.
LDD2194	REF000029	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0579	Fragment20	LDCLL0042	DIA-ABPP	Isotope tag	500 uM	.
LDD1401	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0578	Fragment27	LDCLL0021	.	Isotope tag	500 uM	.
LDD1413	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0578	Fragment27	LDCLL0021	.	Isotope tag	500 uM	.
LDD1414	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0578	Fragment27	LDCLL0042	.	Isotope tag	500 uM	.
LDD2197	REF000029	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0578	Fragment27	LDCLL0042	DIA-ABPP	Isotope tag	500 uM	.
LDD1474	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0578	Fragment27	LDCLC0021	.	Isotope tag	200 uM	.
LDD1399	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0577	Fragment15	LDCLL0021	.	Isotope tag	500 uM	.
LDD1400	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0577	Fragment15	LDCLL0042	.	Isotope tag	500 uM	.
LDD1397	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0576	Fragment14	LDCLL0021	.	Isotope tag	500 uM	.
LDD1398	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0576	Fragment14	LDCLL0042	.	Isotope tag	500 uM	.
LDD2193	REF000029	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0576	Fragment14	LDCLL0042	DIA-ABPP	Isotope tag	500 uM	.
LDD1471	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0576	Fragment14	LDCLC0021	.	Isotope tag	200 uM	.
LDD1472	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0576	Fragment14	LDCLC0042	.	Isotope tag	200 uM	.
